Config,NX,NY,Points,Threads,TotalTime,InterpolationTime,MoverTime,Speedup,Efficiency
A,250,100,900000,1,0.087361,0.037222,0.049819,.9493,94.9300
A,250,100,900000,2,0.045895,0.020214,0.025483,1.8069,90.3400
A,250,100,900000,4,0.027160,0.011453,0.015574,3.0534,76.3300
A,250,100,900000,8,0.024839,0.011513,0.013204,3.3387,41.7300
A,250,100,900000,16,0.028925,0.013456,0.014389,2.8671,17.9100
B,250,100,5000000,1,0.455163,0.194207,0.260642,1.0147,101.4700
B,250,100,5000000,2,0.239325,0.100841,0.138298,1.9299,96.4900
B,250,100,5000000,4,0.179097,0.061621,0.117344,2.5789,64.4700
B,250,100,5000000,8,0.183437,0.062709,0.120600,2.5179,31.4700
B,250,100,5000000,16,0.190759,0.065631,0.122135,2.4213,15.1300
C,500,200,3600000,1,0.357935,0.148612,0.208092,.9949,99.4900
C,500,200,3600000,2,0.186622,0.077559,0.108309,1.9082,95.4100
C,500,200,3600000,4,0.133236,0.048192,0.084600,2.6728,66.8200
C,500,200,3600000,8,0.143337,0.054333,0.088677,2.4844,31.0500
C,500,200,3600000,16,0.162589,0.064641,0.094413,2.1902,13.6800
D,500,200,20000000,1,2.029493,0.840510,1.187695,.9650,96.5000
D,500,200,20000000,2,1.048492,0.429239,0.618480,1.8679,93.3900
D,500,200,20000000,4,0.718730,0.238120,0.480166,2.7249,68.1200
D,500,200,20000000,8,0.775239,0.274573,0.500278,2.5263,31.5700
D,500,200,20000000,16,0.760152,0.251428,0.503449,2.5764,16.1000
E,1000,400,14000000,1,2.200511,1.135002,1.058485,.9029,90.2900
E,1000,400,14000000,2,1.188974,0.595016,0.590349,1.6710,83.5500
E,1000,400,14000000,4,0.694161,0.318567,0.373663,2.8622,71.5500
E,1000,400,14000000,8,1.065227,0.661259,0.401985,1.8651,23.3100
E,1000,400,14000000,16,2.089902,1.677136,0.406518,.9506,5.9400
