Config,NX,NY,Points,TotalCores,MPI_Ranks,OMP_Threads,TotalTime,InterpolationTime,MoverTime,Speedup,Efficiency
A,250,100,900000,2,2,1,0.200266,0.081886,0.117802,2.1649,108.2400
A,250,100,900000,4,4,1,0.129571,0.072009,0.056985,3.3461,83.6500
A,250,100,900000,8,4,2,0.127134,0.068895,0.057655,3.4102,42.6200
A,250,100,900000,16,4,4,0.128858,0.069039,0.059243,3.3646,21.0200
A,250,100,900000,32,4,8,0.104486,0.046873,0.057036,4.1494,12.9600
A,250,100,900000,64,4,16,0.102481,0.044575,0.057324,4.2306,6.6100
B,250,100,5000000,2,2,1,1.097459,0.460881,0.635974,2.1533,107.6600
B,250,100,5000000,4,4,1,0.566224,0.248269,0.317346,4.1736,104.3400
B,250,100,5000000,8,4,2,0.557003,0.239286,0.317119,4.2427,53.0300
B,250,100,5000000,16,4,4,0.562785,0.243902,0.318286,4.1991,26.2400
B,250,100,5000000,32,4,8,0.588717,0.271411,0.316711,4.0141,12.5400
B,250,100,5000000,64,4,16,0.588690,0.269776,0.318262,4.0143,6.2700
C,500,200,3600000,2,2,1,1.143006,0.498657,0.641992,2.0691,103.4500
C,500,200,3600000,4,4,1,0.615732,0.292964,0.320421,3.8409,96.0200
C,500,200,3600000,8,4,2,0.580092,0.257232,0.320477,4.0769,50.9600
C,500,200,3600000,16,4,4,0.580444,0.257882,0.320202,4.0744,25.4600
C,500,200,3600000,32,4,8,0.580211,0.257497,0.320360,4.0761,12.7300
C,500,200,3600000,64,4,16,0.580355,0.258419,0.319582,4.0751,6.3600
D,500,200,20000000,2,2,1,6.311778,2.751624,3.557769,2.0819,104.0900
D,500,200,20000000,4,4,1,3.169695,1.387764,1.779548,4.1456,103.6400
D,500,200,20000000,8,4,2,3.156469,1.374610,1.779490,4.1630,52.0300
D,500,200,20000000,16,4,4,3.154979,1.372942,1.779662,4.1650,26.0300
D,500,200,20000000,32,4,8,3.154576,1.372598,1.779560,4.1655,13.0100
D,500,200,20000000,64,4,16,3.164349,1.382367,1.779607,4.1526,6.4800
E,1000,400,14000000,2,2,1,4.594072,1.972604,2.612174,2.4823,124.1100
E,1000,400,14000000,4,4,1,2.443692,1.127275,1.307130,4.6667,116.6600
E,1000,400,14000000,8,4,2,2.443849,1.184015,1.250511,4.6664,58.3300
E,1000,400,14000000,16,4,4,2.454699,1.195009,1.250397,4.6458,29.0300
E,1000,400,14000000,32,4,8,2.444537,1.184258,1.250988,4.6651,14.5700
E,1000,400,14000000,64,4,16,2.453517,1.136645,1.307572,4.6480,7.2600
